INPUT:option_a	INPUT:option_b	INPUT:option_c	INPUT:option_d	INPUT:question	OUTPUT:answer	GOLDEN:answer	HINT:text	HINT:default_language	ASSIGNMENT:link	ASSIGNMENT:task_id	ASSIGNMENT:assignment_id	ASSIGNMENT:task_suite_id	ASSIGNMENT:worker_id	ASSIGNMENT:status	ASSIGNMENT:started	ASSIGNMENT:submitted	ASSIGNMENT:accepted	ASSIGNMENT:reward
Лето в Волгограде жаркое и сухое	Сегодня в Перми температура 12 ° C	Зимы в Норильске холодные и снежные	Солнце зайдет сегодня в Москве в 18:45	Какое утверждение является описанием погоды?	B	B			https://platform.toloka.ai/task/42366885/00028677a5--65663f6373f0bd2e80da7601	00028677a5--656635d172d52b5a0213fec0	00028677a5--65663f6373f0bd2e80da7601	00028677a5--65663f6373f0bd2e80da75ff	5b88623383ed285715fe43085d3002b8	APPROVED	2023-11-28T19:28:35.148	2023-11-28T19:29:17.309	2023-11-28T19:29:17.309	0.0320000000
газообразного на жидкое	жидкого на твердое	твердого на жидкое	твердого на газообразное	Когда кубик льда тает, его материальное состояние меняется с	C	C			https://platform.toloka.ai/task/42366885/00028677a5--65663f641e0df1629af55d2d	00028677a5--656635d172d52b5a0213fec8	00028677a5--65663f641e0df1629af55d2d	00028677a5--65663f641e0df1629af55d2a	dd86fa40c4489fea8655db2f7e237be8	APPROVED	2023-11-28T19:28:36.892	2023-11-28T19:29:52.343	2023-11-28T19:29:52.343	0.0320000000
Солнце далеко	Кубик льда твердый	Солнце выделяет тепло	Кубик льда выглядит прозрачным	Кубик льда, помещенный на солнечный свет, быстро тает. Что лучше всего объясняет это событие?	C				https://platform.toloka.ai/task/42366885/00028677a5--65663f641e0df1629af55d2d	00028677a5--656635e693eb880e6311da1e	00028677a5--65663f641e0df1629af55d2d	00028677a5--65663f641e0df1629af55d2a	dd86fa40c4489fea8655db2f7e237be8	APPROVED	2023-11-28T19:28:36.892	2023-11-28T19:29:52.343	2023-11-28T19:29:52.343	0.0320000000
испарение	замерзание	плавление	конденсация	В теплый солнечный день студент оставляет ведро с водой на улице. Какой процесс, скорее всего, произойдет с водой в ведре?	A				https://platform.toloka.ai/task/42366885/00028677a5--65663f641e0df1629af55d2d	00028677a5--656635e693eb880e6311da37	00028677a5--65663f641e0df1629af55d2d	00028677a5--65663f641e0df1629af55d2a	dd86fa40c4489fea8655db2f7e237be8	APPROVED	2023-11-28T19:28:36.892	2023-11-28T19:29:52.343	2023-11-28T19:29:52.343	0.0320000000
сколько оно стоит	насколько оно красивое	какого оно цвета	когда его собрали	Что из этого физическое свойство яблока?	C	C			https://platform.toloka.ai/task/42366885/00028677a5--65663f64cb94b61ac9a7d6d6	00028677a5--656635d172d52b5a0213fecc	00028677a5--65663f64cb94b61ac9a7d6d6	00028677a5--65663f64cb94b61ac9a7d6d4	79e49436cf74d9844c948c991e6edf49	APPROVED	2023-11-28T19:28:36.609	2023-11-28T19:29:34.477	2023-11-28T19:29:34.477	0.0320000000
высота	количество листьев	тип семян	ширина ствола	В рамках своего учебного проекта Виктор начал изучение кленов в городе. Он заметил много различий между кленами возле своей школы. Какая из следующих трех характеристик будет разниться МЕНЬШЕ ВСЕГО?	C				https://platform.toloka.ai/task/42366885/00028677a5--65663f64cb94b61ac9a7d6d6	00028677a5--656635e693eb880e6311d99c	00028677a5--65663f64cb94b61ac9a7d6d6	00028677a5--65663f64cb94b61ac9a7d6d4	79e49436cf74d9844c948c991e6edf49	APPROVED	2023-11-28T19:28:36.609	2023-11-28T19:29:34.477	2023-11-28T19:29:34.477	0.0320000000
испарение	замерзание	плавление	конденсация	В теплый солнечный день студент оставляет ведро с водой на улице. Какой процесс, скорее всего, произойдет с водой в ведре?	A				https://platform.toloka.ai/task/42366885/00028677a5--65663f64cb94b61ac9a7d6d6	00028677a5--656635e693eb880e6311da37	00028677a5--65663f64cb94b61ac9a7d6d6	00028677a5--65663f64cb94b61ac9a7d6d4	79e49436cf74d9844c948c991e6edf49	APPROVED	2023-11-28T19:28:36.609	2023-11-28T19:29:34.477	2023-11-28T19:29:34.477	0.0320000000
лист	цветок	корень	стебель	Какая часть растения больше всего отвечает за использование энергии Солнца для производства пищи для растения?	A	A			https://platform.toloka.ai/task/42366885/00028677a5--65663f64cfe2fd19c7dcddf3	00028677a5--656635d172d52b5a0213feb2	00028677a5--65663f64cfe2fd19c7dcddf3	00028677a5--65663f64cfe2fd19c7dcddee	11e5d63426b5a8c672ceeb3769622c47	APPROVED	2023-11-28T19:28:36.495	2023-11-28T19:29:22.066	2023-11-28T19:29:22.066	0.0320000000
цементации	химического выветривания	повышенного давления	осаждения	Глинистый сланец - это осадочная порода, которая может быть преобразована в сланец путем	C				https://platform.toloka.ai/task/42366885/00028677a5--65663f64cfe2fd19c7dcddf3	00028677a5--656635e793eb880e6311da68	00028677a5--65663f64cfe2fd19c7dcddf3	00028677a5--65663f64cfe2fd19c7dcddee	11e5d63426b5a8c672ceeb3769622c47	APPROVED	2023-11-28T19:28:36.495	2023-11-28T19:29:22.066	2023-11-28T19:29:22.066	0.0320000000
Оба организма погибают, если удалить зеленые части	Оба организма используют зеленые части для движения	Зеленые части обоих организмов светятся	Зеленые части обоих организмов могут создавать больше зеленых частей	Студент замечает, что одноклеточный организм и лист растения имеют одинаковые зеленые части. Студент думает, что оба организма используют зеленые части для жизни. Какие доказательства подтверждают вывод о том, что обоим организмам для жизни нужны зеленые части?	A				https://platform.toloka.ai/task/42366885/00028677a5--65663f64cfe2fd19c7dcddf3	00028677a5--656635e993eb880e6311dc49	00028677a5--65663f64cfe2fd19c7dcddf3	00028677a5--65663f64cfe2fd19c7dcddee	11e5d63426b5a8c672ceeb3769622c47	APPROVED	2023-11-28T19:28:36.495	2023-11-28T19:29:22.066	2023-11-28T19:29:22.066	0.0320000000
звуковая	магнитная	механическая	электрическая	Какая форма энергии используется, когда человек толкает деревянный брусок по полу?	C				https://platform.toloka.ai/task/42366885/00028677a5--65663f64e1bebf42ba06e6f9	00028677a5--656635e793eb880e6311dad6	00028677a5--65663f64e1bebf42ba06e6f9	00028677a5--65663f64e1bebf42ba06e6f5	504e6ee65eda60d8877d3768ca8bdf4b	APPROVED	2023-11-28T19:28:36.549	2023-11-28T19:30:05.305	2023-11-28T19:30:05.305	0.0320000000
Скорость воспроизводства рыб увеличится	Водные растения будут подвергаться большему воздействию солнечного света	Водяные птицы не смогут использовать свои перья	Прибрежные растения получат доступ к большему количеству питательных веществ	Из корабля вытекает большое количество нефти возле прибрежной зоны. Какое утверждение описывает, как нефть, скорее всего, повлияет на прибрежную среду обитания?	C				https://platform.toloka.ai/task/42366885/00028677a5--65663f64e1bebf42ba06e6f9	00028677a5--656635e793eb880e6311da7e	00028677a5--65663f64e1bebf42ba06e6f9	00028677a5--65663f64e1bebf42ba06e6f5	504e6ee65eda60d8877d3768ca8bdf4b	APPROVED	2023-11-28T19:28:36.549	2023-11-28T19:30:05.305	2023-11-28T19:30:05.305	0.0320000000
Кошка ест мышь	Змея ест крысу	Ястреб ест мышь	Олень ест лист	В каких из следующих событий участвуют потребитель и продуцент пищевой цепи?	D	D			https://platform.toloka.ai/task/42366885/00028677a5--65663f64e1bebf42ba06e6f9	00028677a5--656635d172d52b5a0213febe	00028677a5--65663f64e1bebf42ba06e6f9	00028677a5--65663f64e1bebf42ba06e6f5	504e6ee65eda60d8877d3768ca8bdf4b	APPROVED	2023-11-28T19:28:36.549	2023-11-28T19:30:05.305	2023-11-28T19:30:05.305	0.0320000000
Измените только тип почвы в каждом контейнере	Используйте разные виды семян томатов	Поместите один контейнер в темную комнату	Полейте каждый контейнер разным количеством воды	Студент изучает, какой тип почвы лучше всего подходит для выращивания томатов из семян. Учащийся сажает по четыре семени томата в каждый из трех разных контейнеров с почвой. Какой этап процедуры поможет студенту получить наиболее надежные результаты?	D				https://platform.toloka.ai/task/42366885/00028677a5--65663f66cb94b61ac9a7d73f	00028677a5--656635e693eb880e6311d9cc	00028677a5--65663f66cb94b61ac9a7d73f	00028677a5--65663f66cb94b61ac9a7d73b	cbb198805aa5a8dd9d931d74b872c7eb	APPROVED	2023-11-28T19:28:38.957	2023-11-28T19:29:31.515	2023-11-28T19:29:31.515	0.0300000000
испарение	замерзание	плавление	конденсация	В теплый солнечный день студент оставляет ведро с водой на улице. Какой процесс, скорее всего, произойдет с водой в ведре?	A				https://platform.toloka.ai/task/42366885/00028677a5--65663f66cb94b61ac9a7d73f	00028677a5--656635e693eb880e6311da37	00028677a5--65663f66cb94b61ac9a7d73f	00028677a5--65663f66cb94b61ac9a7d73b	cbb198805aa5a8dd9d931d74b872c7eb	APPROVED	2023-11-28T19:28:38.957	2023-11-28T19:29:31.515	2023-11-28T19:29:31.515	0.0300000000
весы	ручная линза	линейка	мерный стаканчик	Какой инструмент должен использовать ученик для сравнения массы двух небольших камней?	A	A			https://platform.toloka.ai/task/42366885/00028677a5--65663f66cb94b61ac9a7d73f	00028677a5--656635d172d52b5a0213feb6	00028677a5--65663f66cb94b61ac9a7d73f	00028677a5--65663f66cb94b61ac9a7d73b	cbb198805aa5a8dd9d931d74b872c7eb	APPROVED	2023-11-28T19:28:38.957	2023-11-28T19:29:31.515	2023-11-28T19:29:31.515	0.0300000000
